Comuna,Pob_Comun_2002,Conurbacion,Pob_Conurb_2002,vehicle,motor vehicle,Non-motorized vehicle,private transport,public transport,CO2(movil transport sources),Green spaces ,Iliteracy,Municipal spending(M$/hab),Unemployment,Crime reports,Arrested person,Companies,Sales,workers,Income(workers),Professional technicians,University Professional,Professionals,Solid Waste,Municipal spending for Power Consumption,Municipal spending for Water Consumption,"Municipal Spending cleaning services, garbage collection, landfill",Deaths,Birthrate,Year of scholarship,Offence Against Property,Offence Against the Person,Burglary,Robbery,Injuries,Indigenous,Emergency attendence,Respiratory Diseases,Cardiovascular Diseases,Hospitalizations,Street length
Ancud,39946,Ancud,27292,4533,4447,86,3637,497,,119838,589.922528,18115.511,309.7093272,458,356,2708,8970717.72,10416,837877.1162,978.677,1813.5484,2792.2254,17317,240368,67360,470216,243,590,109687.7214,260.99957426,197.0016882,117.6849106,10.6975388,174.0926572,2588.5008,46524,11988,741,2466,87265.97534
Andacollo,10288,Andacollo,9444,1032,1009,23,740,147,,74073.6,141.249096,6408.3952,282.498192,164,15,330,3255121.41,883,226680.0232,245.8832,237.6528,483.536,1861,130491,43117,1741,66,180,27733.15584,67.99997632,95.9993856,40.8042656,6.1203312,91.810112,47.3248,8182,2142,143,157,
Angol,48996,Angol,43801,5043,4867,176,4160,396,10434.9,78393.6,1237.61544192,24963.462,1288.1636352,667,203,2420,8489458.76,15306,1192680.7054,1097.5104,3101.4468,4198.9572,13913,530553,45594,413670,314,784,168536.4408,425.00012328,242.0010432,171.5986908,15.5954268,217.41975,1876.5468,116566,47440,1930,2748,128762.1758
Antofagasta,296905,Antofagasta,285255,42846,41381,1465,35200,3692,186838.65,,680.862546,155548.5295,5775.9839319,5830,1850,15075,151080625.83,82360,13245820.9916,20486.445,36073.9575,56560.4025,123137,2079290,1655983,6372096,1787,6128,1103889.82095,3769.9987423,2059.986271,2463.302023,497.375256,1250.8904555,5106.766,314862,105722,3624,9706,704497.64003
Arauco,34873,Arauco,16291,3631,3419,212,2797,202,,34873,974.21526657,24693.5713,987.2999649,515,168,1603,23219682.71,9695,1247243.7486,1210.0931,1398.4073,2608.5004,12357,351581,53472,372373,194,512,117703.00087,242.99959749,271.9989381,109.8464627,9.4645322,238.6254771,1234.5042,47231,13345,809,1171,52249.94643
Arica,185268,Arica,175441,29649,28909,740,23811,3379,62454.17,296428.8,1642.31003868,96876.6372,6046.9993056,3347,1478,12660,28031298.74,40970,3221089.8842,10856.7048,19082.604,29939.3088,112257,1831201,398469,1074983,1107,3634,782988.885,2166.99827808,1179.9904188,1492.6857492,227.5832112,842.3950692,24121.8936,132798,31272,3768,8024,478863.34213
Bulnes,20595,Bulnes,10681,1291,1119,172,753,92,,8238,342.091188,12130.455,639.2037198,293,94,1145,2715910.19,3607,339631.8647,607.5525,698.1705,1305.723,2439,171176,17154,224566,156,267,62907.0156,182.0000745,111.0008715,69.4648755,3.91305,101.751657,142.1055,33570,8835,696,1454,30090.38415
Cabildo,18916,Cabildo,11287,2249,2213,36,1896,142,,18916,472.7335392,8283.3164,248.84168244,205,54,1402,2569610.74,5045,350625.5576,618.5532,520.19,1138.7432,7002,170220,29844,225021,134,260,51387.2056,135.00008712,70.0005496,99.0555256,3.8456228,59.6270152,151.328,,,,,25885.99237
Cabrero,25282,Cabrero,18037,2656,2442,214,1991,93,,27810.2,904.16623368,16567.2946,969.615264,245,166,1075,3404244.63,4693,456755.2997,594.127,573.9014,1168.0284,8868,352804,19484,415848,135,369,78171.944,122.00006074,122.99693,74.1065984,3.7973564,112.113029,401.9838,38225,11672,541,,54181.97306
Calama,138402,Calama,136600,33236,31931,1305,24627,4272,124119.07,152242.2,160.477119,64398.4506,4381.0253487,3066,1187,6344,46853067.17,32200,4538646.5916,11404.3248,10933.758,22338.0828,44341,1099776,206834,3206887,598,2893,499827.75084,1990.99996326,1074.9960144,1330.8321114,146.2632336,832.349628,13148.19,100945,26479,3026,3979,392271.07453
Calbuco,31070,Calbuco,12165,1150,1109,41,915,117,,15535,1270.26588,18262.946,242.4090721,344,316,967,3703294.72,3238,413770.0177,695.968,742.573,1438.541,17257,94841,14353,337008,203,465,103525.24,176.9998867,167.00125,103.487956,7.664969,146.610009,2460.744,42877,13649,94,774,
Caldera,13734,Caldera,12776,3572,3466,106,2848,403,,75537,123.2873712,8686.755,199.197936,461,131,803,2474054.78,2889,270992.4348,546.6132,726.5286,1273.1418,8250,179211,72756,,68,284,46435.3407,336.99994776,124.0001658,217.1441538,9.606933,103.767237,373.5648,36319,9678,189,,66158.71639
Cañete,31270,Cañete,19839,2756,2607,149,1974,230,,96937,1140.2117688,17576.867,857.2808088,535,133,1519,2792989.52,4407,348338.5526,687.94,1131.974,1819.914,6984,304777,26693,327013,214,550,103686.3168,273.9999353,260.998182,130.818045,20.347389,226.745024,3173.905,53503,15483,565,2304,
Carahue,25696,Carahue,9459,1637,1589,48,1279,96,,28265.6,770.6024832,14605.6064,557.1201152,398,64,893,867991.61,558,108197.0097,334.048,750.3232,1084.3712,8888,183171,43520,252184,173,338,64324.28288,202.0001104,195.99624,109.3082144,1.9683136,187.105424,3348.1888,,,,,32517.58671
Casablanca,21874,Casablanca,14437,2897,2494,403,1886,142,,91870.8,471.920613,22283.0438,289.775815,343,186,1312,32912652.71,5304,980390.6153,1113.3866,909.9584,2023.345,9606,515234,34305,213971,128,327,72253.32184,244.0000952,98.9973492,117.408695,6.4681418,79.5054278,201.2408,39182,12249,2790,3,54071.88289
Castro,39366,Castro,29148,5241,5154,87,4129,555,,,852.844707,26528.7474,480.6942894,543,367,2591,9860524.87,11504,751173.4601,1417.176,2554.8534,3972.0294,12011,301044,52617,826028,275,776,141550.2945,378.99970794,163.998756,210.4663824,8.2353672,136.3480776,2905.2108,55930,17063,1609,2866,75008.9555
Catemu,12112,Catemu,6706,1236,1177,59,1015,66,,1211.2,232.48984,7287.7904,287.0192752,221,35,695,700983.04,1611,114318.5184,329.4464,329.4464,658.8928,4446,92795,8704,156556,73,197,40552.7928,120.99997008,99.9990944,66.6450688,1.9306528,73.404776,95.6848,,,,,17868.28533
Cauquenes,41217,Cauquenes,30771,6068,5974,94,4750,620,,65947.2,1746.281856,22001.6346,694.4198943,679,119,2899,3193830.85,6712,482564.1755,927.3825,1541.5158,2468.8983,12805,354192,104380,593486,331,538,122270.2305,352.00018689,326.9991912,153.2241975,25.5380532,281.9036715,280.2756,72151,27644,1857,1905,87666.18793
Chañaral,13543,Chañaral,12086,3247,2890,357,1929,372,,2708.6,111.09024954,7826.4997,557.876799,223,80,778,3021557.89,3907,521397.6466,369.7239,591.8291,961.553,4716,110285,63772,107,80,249,50732.61972,139.99981449,82.9996298,91.0726121,6.9299531,70.2841071,207.2079,,,,,49882.72379
Chimbarongo,32316,Chimbarongo,13795,3059,2933,126,2406,169,,,1139.54068788,12716.346,736.7207784,347,137,2315,3387342.29,10336,453999.1088,698.0256,717.4152,1415.4408,8389,212520,19601,274857,189,432,97557.80292,203.9995974,142.9983,122.865432,10.6384272,125.7674088,248.8332,32941,6994,349,224,29413.67732
Codegua,10796,Codegua,5113,2989,2934,55,1566,1296,,,,9828.6784,258.1690664,256,51,487,1805162.43,3613,154854.6627,296.89,264.502,561.392,2596,77725,10406,35324,65,159,31032.88608,168.99993624,86.999566,115.2462204,7.6187372,74.2894352,186.7708,15738,6642,525,0,14807.53364
Coelemu,16082,Coelemu,9845,2130,2030,100,1600,193,,,466.313672,9046.125,328.539178,177,126,973,1851512.7,2407,221230.0477,368.2778,498.542,866.8198,4642,115612,24663,288616,123,197,49672.15176,80.99988776,95.9998908,34.9831746,,94.9513444,210.6742,26515,8300,28,927,22518.40897
Coihaique,50041,Coihaique,44850,8858,8750,108,7318,717,17711.63,100082,1048.12625935,30454.9526,411.83743,814,217,3373,10715704,14159,1289161.8676,2462.0172,3622.9684,6084.9856,24329,,,,,,185287.81152,450.9995166,362.997414,222.3771999,19.0005677,322.163958,4143.3948,62103,17879,947,2943,117778.10956
Coihueco,23583,Coihueco,7230,2241,2163,78,1885,77,,14149.8,1061.19679554,10720.8318,520.4013444,183,52,1191,1607536.2,4056,232941.8493,398.5527,429.2106,827.7633,5304,184453,13897,205986,141,371,59833.60845,95.99978976,87.0000453,29.2523532,4.8746061,78.012564,282.996,,,,,18172.12086
Collipulli,22354,Collipulli,14240,2860,2729,131,2164,150,,11177,630.04771354,12484.709,492.738045,236,168,938,1329614.31,3893,219246.3864,315.1914,684.0324,999.2238,7670,263122,19023,290894,162,378,52661.10612,109.99978674,125.998321,72.2615404,14.8475268,104.9274406,1479.8348,45165,16000,862,769,41415.5201
Combarbalá,13483,Combarbalá,5494,1063,1049,14,862,85,,2696.6,349.54664017,11236.7322,83.6781946,112,15,552,529519.65,2024,96397.2559,246.7389,339.7716,586.5105,2586,192559,54989,,99,164,35936.50956,62.99985682,48.9999186,40.3290013,5.0412937,42.3447098,66.0667,3576,725,133,378,18299.61423
Constitución,46081,Constitución,33914,5475,5056,419,4068,350,,27648.6,851.57688,27353.6816,1377.85139184,762,117,2548,16358364.12,12585,1087330.1596,1792.5509,1820.1995,3612.7504,15931,378592,70004,593413,239,706,116995.0509,456.99956211,304.9963147,281.7161935,31.3028233,241.8745609,608.2692,70949,20738,862,2381,71545.44991
Copiapó,129091,Copiapó,134561,18359,17896,463,14971,1937,65143.32,271091.1,1630.12887525,56154.585,2928.46160775,3929,947,6624,77797058.54,48928,5654593.3326,6674.0047,12560.5543,19234.559,41588,1284884,416534,2894124,772,2871,503143.79069,2862.99956165,1065.9818416,1846.2078456,259.3180008,668.4590162,3601.6389,131690,35064,3179,5938,358942.83208
Tierra Amarilla,12888,Copiapó,134561,2937,2824,113,2168,252,,6444,237.48885144,10680.2856,227.57282424,227,41,496,4418030.92,7565,418184.2504,310.6008,295.1352,605.736,6485,173811,79645,52825,65,225,38834.766,128.00000736,98.999172,94.282164,3.847068,91.3965408,417.5712,,,,,21246.689
Cunco,18703,Cunco,7316,1849,1792,57,1524,125,,50498.1,467.3711373,8934.4231,361.8357192,112,23,747,2692040.18,1061,127162.8675,314.2104,555.4791,869.6895,11453,121840,17142,186110,139,192,58757.3448,54.99972507,56.9973925,29.4852795,1.963815,52.0953362,1191.3811,,,,,32178.09227
Curacautín,16970,Curacautín,12412,1731,1703,28,1448,65,,16970,484.9849512,11963.85,554.878272,210,56,1164,994459.97,1086,124382.0527,356.37,614.314,970.684,5403,183882,12098,86451,116,189,53099.13,105.0000083,105.000178,56.267429,6.029441,99.473049,672.012,23787,7191,304,597,59036.91664
Curacaví,24298,Curacaví,15645,5414,5226,188,4370,266,,21868.2,512.104648,16233.4938,445.99659344,303,196,1442,2527588.06,4016,347488.5535,1263.496,1115.2782,2378.7742,5760,172953,39617,319216,155,386,79490.907,165.99980534,136.9994134,104.858019,11.3325872,114.3050814,415.4958,43997,11733,1995,442,52647.85094
Curanilahue,31943,Curanilahue,30126,2418,2295,123,1699,318,,19165.8,923.983218,25327.6047,1334.642426,464,341,1262,4347825.16,5543,579902.6844,817.7408,1108.4221,1926.1629,11956,276377,15660,277041,192,528,87014.64858,272.99989121,190.9999742,87.2874418,16.8595154,170.6107573,1661.036,66679,16655,1207,4210,73356.99299
Curicó,119585,Curicó,104124,14074,13742,332,11713,1301,31890.48,538132.5,2656.006767,69825.6815,3639.712977,4133,697,8506,35466596.65,49768,3386262.606,5907.499,7677.357,13584.856,41243,1106243,175918,2407317,765,2136,305258.65025,3400.99859585,732.003702,1890.0050495,110.5563325,523.256126,1363.269,234321,83420,5578,5914,378125.76083
Rauco,3114,Curicó,104124,2126,1859,267,1590,46,,,,,,96,15,508,548455.5,2028,93183.2988,,,,4491,145870,25909,92773,54,93,,,,,,,,,,,,11746.8502
Romeral,3675,Curicó,104124,6077,5590,487,4986,180,,,,,,162,36,1130,7350251.51,18566,863793.1609,,,,6741,143215,17696,25480,57,175,,,,,,,,,,,,14184.77262
Diego de Almagro,18589,Diego de Almagro,7951,1675,1597,78,1242,211,,39036.9,114.043515,10348.4963,669.055288,253,86,672,2456214.29,2777,432104.2008,992.6526,1455.5187,2448.1713,2880,121241,75732,780,57,267,61366.0068,150.99974823,101.9997019,88.9576595,7.4132932,96.3690938,526.0687,,,,,61833.57361
Doñihue,16916,Doñihue,7402,3216,2976,240,2448,166,,35523.6,,9606.5964,514.03495,225,56,861,4652810.77,5733,680885.2058,681.7148,531.1624,1212.8772,4901,174266,32735,236304,102,266,57043.45856,147.00004,77.999676,69.2490292,5.6905424,65.4530788,184.3844,20743,5306,506,,26618.86783
El Monte,26459,El Monte,22284,3979,3681,298,2765,343,,42334.4,407.0611314,20368.1382,959.5012383,519,129,1111,5633676.37,4310,442041.009,963.1076,1034.5469,1997.6545,12621,170150,23423,69431,185,539,95766.76296,379.99965997,138.9997106,253.344925,22.7706154,102.475707,470.9702,27788,10929,657,,23336.81834
Algarrobo,8601,El Quisco,18581,13506,13432,74,13279,155,,5160.6,120.48143184,28951.8261,197.0936352,308,142,610,1454706.55,1391,163607.3648,455.853,578.8473,1034.7003,4098,337630,26697,125630,68,126,31153.51008,237.99990519,70.0000986,165.7369695,2.7316776,57.3695301,205.5639,28701,8945,296,,204456.85529
El Quisco,9467,El Quisco,18581,7758,7707,51,7456,183,,12307.1,69.9999447,20873.7883,226.33315453,467,220,748,909519.1,981,98318.0178,531.0987,528.2586,1059.3573,4739,318463,28776,27690,71,134,36784.0285,383.99998065,83.0000291,298.6052739,12.628978,59.5398564,299.1572,59706,14838,481,,211545.93235
El Tabo,7028,El Quisco,18581,7508,7485,23,7254,154,,14758.8,43.1505144,17312.7752,83.903778,162,66,500,2033295.73,671,71095.435,376.7008,409.0296,785.7304,3535,169776,21641,96028,42,90,23868.845,139.99993868,21.9990456,114.8719572,1.8083044,18.0893692,118.0704,,,,,211330.55097
Fresia,12804,Fresia,6144,953,928,25,771,51,,5121.6,421.29628596,6820.6908,237.9969108,136,60,653,862074.65,955,96634.1485,222.7896,293.2116,516.0012,7037,103886,13967,,104,110,33812.163,59.99992812,75.998142,30.7052724,6.9320856,64.3797924,777.2028,17567,4628,64,466,17578.87297
Frutillar,15525,Frutillar,9118,1634,1597,37,1340,122,,304290,368.6256,11218.365,397.424475,155,76,1010,2784096.22,3154,289469.3156,490.59,569.7675,1060.3575,20834,173412,20797,25000,114,259,42894.17775,72.99994725,81.9983925,39.09195,,74.367855,995.1525,15865,5062,522,63,27194.2268
Futrono,14981,Futrono,6603,1208,1160,48,956,102,,19475.3,423.48949964,8936.1665,243.77143124,189,75,576,1041943.37,1400,167829.7843,289.1333,402.9889,692.1222,7012,104559,12361,294177,88,201,49292.73335,109.99994003,78.9993073,43.6156834,2.9078121,71.7245337,1712.3283,16371,6720,183,,14279.20947
Gorbea,15222,Gorbea,7852,1332,1281,51,1120,48,,74587.8,346.4892528,9626.3928,641.00511768,292,59,846,1417428.07,3121,156162.5927,375.9834,506.8926,882.876,13695,115502,12822,138952,129,172,41287.3917,163.99984914,127.9987536,78.8301714,25.6201482,98.5365726,907.2312,,,,,40872.80403
Chillán,161953,Gran Chillán,165528,19884,19491,393,17207,1143,66921.26,210538.9,3193.03781599,64036.2162,5184.91395829,3506,1579,10071,36971774.07,45256,4092354.9489,8000.4782,16227.6906,24228.1688,52726,1369066,232746,2059587,1136,2543,515820.305,2802.00067796,703.9773004,1746.2906131,124.0883886,526.509203,1635.7253,252108,84018,5943,11018,512158.5753
Chillán Viejo,22084,Gran Chillán,165528,6716,6538,178,5168,929,,48584.8,392.9715296,13705.3304,422.44439432,427,106,622,1409385.01,1898,159188.8735,980.5296,1104.2,2084.7296,8768,257788,26309,135274,108,371,79198.745,328.99992344,97.99775,169.1899408,19.3080412,57.0076376,280.4668,,,,,1686.76156
Chiguayante,81302,Gran Concepción,848023,11858,11639,219,10593,725,52155.1,138213.4,1193.8995445,45090.0892,2148.40535,1207,252,2354,3983982.6,7918,729413.4173,5211.4582,8926.9596,14138.4178,34643,558891,38437,1470258,389,1211,305784.9522,681.99938794,524.9995348,457.2505782,126.1075322,332.9642108,1959.3782,86075,33123,951,,170185.21529
Concepción,216061,Gran Concepción,848023,41565,40919,646,38061,1369,172570.63,799425.7,1909.35482371,148196.2399,9746.88117431,6016,4921,17980,101598029.25,125749,14420333.5415,15945.3018,37681.0384,53626.3402,87471,1969484,92753,3144720,1257,2743,943722.03885,4089.99799963,1925.967754,2665.1988594,486.2668866,879.6059371,4818.1603,305739,90436,5386,11247,667899.21002
Coronel,95528,Gran Concepción,848023,6199,5792,407,4428,716,75463.12,191056,1439.07009264,60039.348,4417.53760464,1438,503,3416,29751164.25,23424,2291784.9877,4336.9712,5397.332,9734.3032,32283,1206705,229665,2125533,555,1651,354838.756,871.99964488,566.0034,577.0942008,103.5236936,404.5419744,2923.1568,197067,73181,3521,4200,260031.89036
Hualpén,86722,Gran Concepción,848023,,,,,,44784.43,,,,,,,1249,6746929.82,5857,756504.1477,,,,25877,669858,50172,1474682,470,1314,,,,,,203.6319282,,80188,33299,1263,,223695.54084
Lota,49089,Gran Concepción,848023,2762,2626,136,1848,494,9570.7,73633.5,848.846988,44185.0089,2392.205148,805,445,1556,5728198.08,5002,706512.2121,2086.2825,1953.7422,4040.0247,15275,375725,67539,892011,312,780,137975.43408,424.99979886,379.997949,318.4010718,45.6282255,324.3506586,1654.2993,75064,21527,1346,2806,94732.40266
Penco,46016,Gran Concepción,848023,3385,3257,128,2570,380,33848.47,50617.6,684.5524224,25722.944,1532.0935168,679,229,1420,2308446.26,3900,368703.8919,2217.9712,2894.4064,5112.3776,14081,322560,38458,623182,270,751,176789.79072,304.99956992,373.99504,193.4190528,62.23664,274.8167552,837.4912,71558,23949,1929,1256,542.09242
San Pedro de la Paz,80447,Gran Concepción,848023,15894,15424,470,13803,1026,94625.46,402235,1161.6466353,40424.6175,2543.975481,974,353,2883,40796046.73,24619,2335019.1785,4923.3564,11061.4625,15984.8189,33741,956916,75151,1358696,428,2106,294375.68475,585.99927763,388.0039257,424.3096568,180.9011689,178.0613898,2727.1533,119649,51632,1913,,277550.79689
Talcahuano,163626,Gran Concepción,848023,22991,22249,742,19419,1606,90361.55,572691,1328.3240493,73140.822,5330.6978223,3865,2753,7795,88464770.8,54949,9252783.8769,12353.763,14529.9888,26883.7518,51566,1013318,224715,3354143,952,2084,632015.24256,1311.76182558,1214.3667216,887.0001834,414.8900856,697.7667144,3272.52,282743,91222,5988,1714,395515.83169
Tomé,52440,Gran Concepción,848023,3554,3492,62,2843,461,9668.5,183540,938.1925032,73982.352,2270.106624,695,354,1971,10354367.9,9440,1270191.1581,2254.92,2905.176,5160.096,16745,329354,108678,415589,334,691,184276.782,321.9994296,372.995232,151.252692,40.98186,311.294328,587.328,88611,27792,1787,3414,137780.71668
Alto Hospicio,50215,Gran Iquique,214586,,,,,,,,,,,,,1323,2600763.75,2984,216069.8315,,,,52118,675265,178492,1024763,195,1886,,,,,,231.29029,,130739,36545,1724,,156956.41171
Iquique,166204,Gran Iquique,214586,,,,,,93258.19,182824.4,394.2026472,125733.326,6570.04412,5120,2657,12622,112813293.69,62071,5566590.7987,10038.7216,17684.1056,27722.8272,113279,1481510,519307,3816525,1027,3530,759319.5944,2722.46473304,1209.54961,1827.41298,232.7853224,765.535624,9772.7952,256539,75619,4616,11623,347137.43278
Coquimbo,163036,Gran La Serena,296253,14430,14249,181,11210,2195,62279.32,472804.4,1600.116822,129939.692,3905.4703174,4347,908,7755,24340368.08,41602,3489266.4409,9178.9268,12879.844,22058.7708,75463,2154076,324021,2571611,1068,3466,681816.552,3186.0006012,1160.9956596,2310.383156,258.7707392,726.080826,1679.2708,214135,52458,2419,11867,493142.56597
La Serena,160148,Gran La Serena,296253,27281,27123,158,24395,2462,84178.04,528488.4,1376.38237712,115194.4564,5004.50328752,4688,941,8923,41100482.57,43124,5036799.2169,12411.47,18529.1236,30940.5936,61370,2701262,147911,2666151,993,3246,665895.384,3411.99798144,1275.97919,2289.71603,397.7115432,649.560288,1713.5836,185479,63015,3421,5218,496726.13137
Puerto Montt,175938,Gran Puerto Montt,175140,24672,24052,620,19733,2704,73766.26,52781.4,3049.60724796,100319.8476,2982.500976,2616,2802,11715,114668284.87,93313,9990903.8772,10169.2164,12737.9112,22907.1276,102617,1846950,144457,2613231,1089,3695,629847.48372,1692.9985926,923.0059356,1003.5679458,93.9157044,694.1985666,8005.179,305406,113048,3977,10098,521357.54058
Puerto Varas,32912,Gran Puerto Montt,175140,5783,5613,170,5027,389,,,620.8815888,28646.6048,743.97576,406,278,2809,12152754.5,10918,1174684.4419,1464.584,2642.8336,4107.4176,17517,471805,47152,608217,196,746,108291.67008,254.99987216,151.000256,139.4218144,10.3606976,124.3481184,1398.76,25435,11129,232,,101482.74583
Hijuelas,16014,Gran Quillota,128874,2073,2028,45,1573,208,,20818.2,413.50998492,8532.2592,337.69010052,79,27,1198,6254323.77,7674,553439.8761,462.8046,349.1052,811.9098,6246,92871,8284,197390,79,238,49311.9102,31.99981536,46.9994886,18.0621906,1.8992604,39.9245034,110.4966,,,,,7986.44944
Calera,49503,Gran Quillota,128874,,,,,,,,,,,,,,,,,,,,,,,,,,,464.00003451,,,,,,,,,,
La Cruz,12851,Gran Quillota,128874,2431,2347,84,2043,106,,3855.3,144.380985,840.4554,317.15689705,98,21,1043,1858916.07,3198,217253.4596,673.3924,740.2176,1413.61,5210,82110,5063,112514,76,231,48260.00285,70.00003955,27.9984737,48.2259477,1.8916672,24.5852481,115.659,,,,,13072.20588
Quillota,75916,Gran Quillota,128874,10507,10389,118,9120,734,,235339.6,398.77232396,51653.2464,2034.02573876,1000,361,5062,16127206.53,19820,1381328.922,4699.2004,6194.7456,10893.946,29099,544532,26674,842411,594,1258,260543.712,683.9993642,316.00035,396.2359704,31.656972,250.408926,683.244,11736,21039,1449,4868,210035.21912
Machalí,28628,Gran Rancagua,239290,6178,5990,188,5326,292,,17176.8,658.150563,16461.1,799.72318,521,63,1131,1879835.15,7264,403662.9989,1620.3448,2212.9444,3833.2892,8528,398223,92334,615237,172,692,96052.6656,366.99979508,153.9957376,224.5923856,10.334708,133.4408336,406.5176,16263,6355,214,,105012.06304
Olivar,12335,Gran Rancagua,239290,2514,2287,227,1864,62,,51807,,6145.297,255.1556425,106,16,717,3783538.87,6492,442920.2646,361.4155,287.4055,648.821,3120,122940,46246,23120,65,190,30233.8251,59.999907,45.999682,30.5599625,2.8654205,41.065682,256.568,,,,,12182.5779
Rancagua,214344,Gran Rancagua,239290,33785,33209,576,28885,3089,81299.66,,2181.807576,95447.3832,6713.25408,4837,2322,10464,150222312.31,86027,8272798.0604,15947.1936,17361.864,33309.0576,78094,1691067,429582,3573109,1321,3823,821501.24472,3229.99903512,1607.0012712,2066.7262824,549.2565,857.91186,3386.6352,238749,60045,7763,7148,582930.57597
Cartagena,16875,Gran San Antonio,106255,2697,2622,75,2023,425,,6750,260.9145,30906.5625,616.707,429,347,1092,1446847.83,1625,165857.1512,801.5625,735.75,1537.3125,7891,296660,28931,56172,117,221,42511.5,335.99998125,92.9998125,275.8708125,8.2485,68.7369375,268.3125,42093,12530,545,,76651.91895
San Antonio,87205,Gran San Antonio,106255,7765,7203,562,5116,1298,32601.69,191851,1206.097473,62089.96,3846.473022,1692,798,5069,16555138.94,15604,1603763.9972,4874.7595,4220.722,9095.4815,32918,815069,63892,1357267,577,1307,266760.095,1095.9994164,596.0025725,850.9027875,142.1354295,353.4157035,1421.4415,17339,45046,2286,3573,247011.21674
Santo Domingo,8914,Gran San Antonio,106255,14500,13895,605,12626,305,,,,,,163,24,913,13102557.48,2471,350345.2089,,,,2971,181579,43211,361075,53,131,,,,,,,,,,,,122741.85585
